ID,DATEKEY,TRANSACTION_ID,CUSTOMER_ID,STORE_ID,PROMOTION_ID,CATEGORY_ID,PRODUCT_ID,TRANSACTION_TIME,QUANTITY,TOTAL_AMOUNT,TIME_HOUR
1,20231203,1,49,5,9,105,10201,03:19:46,3,6.0,3
1,20231203,1,49,5,9,105,10205,03:19:46,3,15.0,3
2,20230331,2,78,4,18,304,130101,01:16:12,1,15.0,1
2,20230331,2,78,4,18,304,30206,01:16:12,3,120.0,1
2,20230331,2,78,4,18,304,30204,01:16:12,2,30.0,1
3,20230208,3,66,2,14,703,70202,00:47:41,3,90.0,0
3,20230208,3,66,2,14,703,70201,00:47:41,2,50.0,0
4,20230728,4,49,3,6,503,50101,10:02:35,1,100.0,10
4,20230728,4,49,3,6,503,50102,10:02:35,1,40.0,10
5,20230204,5,151,4,14,404,40201,16:34:16,1,400.0,16
5,20230204,5,151,4,14,404,40202,16:34:16,1,350.0,16
6,20230602,6,66,5,13,703,170205,18:19:33,1,50.0,18
6,20230602,6,66,5,13,703,170101,18:19:33,1,2.5,18
6,20230602,6,66,5,13,703,70102,18:19:33,3,30.0,18
6,20230602,6,66,5,13,703,170203,18:19:33,1,80.0,18
6,20230602,6,66,5,13,703,170201,18:19:33,1,25.0,18
7,20230520,7,199,1,22,603,160102,14:25:39,2,30.0,14
8,20230307,8,59,4,11,304,130206,02:34:52,2,80.0,2
9,20230816,9,169,3,24,603,60101,17:45:02,3,90.0,17
9,20230816,9,169,3,24,603,160103,17:45:02,3,60.0,17
9,20230816,9,169,3,24,603,60302,17:45:02,1,50.0,17
9,20230816,9,169,3,24,603,60102,17:45:02,2,30.0,17
10,20231216,10,98,2,20,503,150202,19:19:33,2,70.0,19
10,20231216,10,98,2,20,503,50103,19:19:33,3,150.0,19
10,20231216,10,98,2,20,503,150101,19:19:33,1,100.0,19
10,20231216,10,98,2,20,503,150201,19:19:33,2,40.0,19
11,20230721,11,145,1,15,603,60103,12:27:45,2,40.0,12
11,20230721,11,145,1,15,603,160103,12:27:45,2,40.0,12
11,20230721,11,145,1,15,603,60303,12:27:45,2,40.0,12
11,20230721,11,145,1,15,603,60302,12:27:45,3,150.0,12
11,20230721,11,145,1,15,603,160302,12:27:45,3,150.0,12
12,20230418,12,172,3,10,105,110104,08:59:44,1,2.5,8
12,20230418,12,172,3,10,105,10401,08:59:44,1,3.0,8
12,20230418,12,172,3,10,105,110202,08:59:44,1,10.0,8
12,20230418,12,172,3,10,105,10103,08:59:44,2,6.0,8
13,20231010,13,61,5,4,503,50101,21:08:37,1,100.0,21
13,20231010,13,61,5,4,503,50102,21:08:37,3,120.0,21
13,20231010,13,61,5,4,503,50103,21:08:37,3,150.0,21
13,20231010,13,61,5,4,503,50201,21:08:37,3,60.0,21
14,20230421,14,13,2,16,603,160303,08:42:00,3,60.0,8
14,20230421,14,13,2,16,603,60103,08:42:00,1,20.0,8
14,20230421,14,13,2,16,603,60302,08:42:00,1,50.0,8
14,20230421,14,13,2,16,603,160302,08:42:00,2,100.0,8
14,20230421,14,13,2,16,603,160103,08:42:00,1,20.0,8
15,20230513,15,148,5,20,204,120204,17:00:49,2,50.0,17
16,20230107,16,116,3,16,404,140101,03:02:12,1,500.0,3
16,20230107,16,116,3,16,404,40201,03:02:12,1,400.0,3
16,20230107,16,116,3,16,404,40103,03:02:12,1,200.0,3
16,20230107,16,116,3,16,404,40403,03:02:12,2,100.0,3
17,20230923,17,115,2,19,304,30203,10:08:13,1,35.0,10
18,20230702,18,74,4,12,603,160303,19:15:22,1,20.0,19
18,20230702,18,74,4,12,603,60101,19:15:22,2,60.0,19
18,20230702,18,74,4,12,603,60302,19:15:22,3,150.0,19
18,20230702,18,74,4,12,603,160102,19:15:22,3,45.0,19
18,20230702,18,74,4,12,603,60103,19:15:22,3,60.0,19
19,20230314,19,124,3,13,703,170205,09:27:45,2,100.0,9
19,20230314,19,124,3,13,703,70204,09:27:45,3,90.0,9
19,20230314,19,124,3,13,703,170101,09:27:45,2,5.0,9
19,20230314,19,124,3,13,703,70201,09:27:45,3,75.0,9
19,20230314,19,124,3,13,703,170201,09:27:45,2,50.0,9
20,20230705,20,88,2,2,304,130103,18:16:11,3,180.0,18
20,20230705,20,88,2,2,304,30203,18:16:11,1,35.0,18
21,20231226,21,110,5,6,304,30205,11:49:50,3,135.0,11
21,20231226,21,110,5,6,304,130204,11:49:50,1,15.0,11
21,20231226,21,110,5,6,304,130103,11:49:50,2,120.0,11
22,20230418,22,180,1,20,603,160102,16:07:35,2,30.0,16
22,20230418,22,180,1,20,603,60302,16:07:35,3,150.0,16
23,20230827,23,140,2,11,703,70104,16:13:43,2,10.0,16
23,20230827,23,140,2,11,703,70202,16:13:43,3,90.0,16
23,20230827,23,140,2,11,703,170301,16:13:43,1,20.0,16
24,20230505,24,10,3,18,204,20403,00:30:38,3,897.0,0
24,20230505,24,10,3,18,204,120403,00:30:38,1,299.0,0
24,20230505,24,10,3,18,204,20104,00:30:38,1,549.0,0
24,20230505,24,10,3,18,204,20101,00:30:38,2,1998.0,0
24,20230505,24,10,3,18,204,120103,00:30:38,3,2097.0,0
25,20230512,25,107,5,19,304,30205,09:09:31,3,135.0,9
25,20230512,25,107,5,19,304,30104,09:09:31,1,40.0,9
26,20230122,26,80,3,10,404,40201,21:59:25,1,400.0,21
26,20230122,26,80,3,10,404,40202,21:59:25,1,350.0,21
27,20231123,27,61,3,16,105,110205,08:23:56,1,5.0,8
27,20231123,27,61,3,16,105,110202,08:23:56,2,20.0,8
27,20231123,27,61,3,16,105,10205,08:23:56,3,15.0,8
28,20231227,28,37,5,11,603,160102,01:33:09,1,15.0,1
28,20231227,28,37,5,11,603,60101,01:33:09,2,60.0,1
28,20231227,28,37,5,11,603,60302,01:33:09,2,100.0,1
28,20231227,28,37,5,11,603,160103,01:33:09,2,40.0,1
28,20231227,28,37,5,11,603,160101,01:33:09,3,90.0,1
29,20230205,29,63,2,23,703,70206,16:36:51,1,80.0,16
29,20230205,29,63,2,23,703,70102,16:36:51,2,20.0,16
30,20230316,30,141,1,13,404,40201,21:55:52,1,400.0,21
30,20230316,30,141,1,13,404,140103,21:55:52,2,400.0,21
30,20230316,30,141,1,13,404,40103,21:55:52,2,400.0,21
